ID_Produit,Nom_Produit,Categorie,Prix_Achat,Prix_Vente,Stock_Disponible
P046,Étagère en bois Modèle 6,Étagères,301.18,441.82,61
P047,Étagère métallique Modèle 7,Étagères,211.97,346.05,38
P048,Étagère modulable Modèle 8,Étagères,244.05,351.34,29
P049,Étagère à livres Modèle 9,Étagères,494.51,906.91,6
P050,Étagère industrielle Modèle 10,Étagères,499.92,822.75,0
P051,Bureau d'ordinateur Modèle 1,Bureaux,181.01,312.3,83
P052,Bureau d'écrivain Modèle 2,Bureaux,482.85,687.36,93
P053,Bureau design Modèle 3,Bureaux,234.49,322.73,38
P054,Bureau vintage Modèle 4,Bureaux,96.93,153.56,16
P055,Bureau en bois Modèle 5,Bureaux,330.03,524.57,18
P056,Bureau réglable en hauteur Modèle 6,Bureaux,143.83,263.27,67
P057,Bureau de coin Modèle 7,Bureaux,142.96,255.24,97
P058,Bureau moderne Modèle 8,Bureaux,216.4,389.73,1
P059,Bureau pour enfant Modèle 9,Bureaux,391.08,671.42,60
P060,Bureau pliant Modèle 10,Bureaux,336.03,515.35,25
P061,Lit simple Modèle 1,Lits,347.9,564.3,52
P062,Lit double Modèle 2,Lits,126.45,185.41,100
P063,Lit superposé Modèle 3,Lits,454.99,573.74,31
P064,Lit mezzanine Modèle 4,Lits,464.6,832.89,6
P065,Lit gigogne Modèle 5,Lits,367.22,629.88,16
P066,Lit design Modèle 6,Lits,207.24,396.37,74
P067,Lit en bois Modèle 7,Lits,470.92,851.76,73
P068,Lit vintage Modèle 8,Lits,228.89,444.96,51
P069,Lit à baldaquin Modèle 9,Lits,253.93,307.58,13
P070,Lit escamotable Modèle 10,Lits,211.86,314.07,27
P071,Commode de chambre Modèle 1,Commodes,292.59,545.91,41
P072,Commode de salon Modèle 2,Commodes,495.04,920.92,72
P073,Commode design Modèle 3,Commodes,203.36,349.47,89
P074,Commode vintage Modèle 4,Commodes,52.73,102.55,6
P075,Commode en bois Modèle 5,Commodes,88.73,160.38,0
P076,Commode à tiroirs Modèle 6,Commodes,324.42,621.28,73
P077,Commode moderne Modèle 7,Commodes,364.1,494.26,20
P078,Commode scandinave Modèle 8,Commodes,361.87,588.27,57
P079,Commode à portes Modèle 9,Commodes,461.93,795.06,14
P080,Commode industrielle Modèle 10,Commodes,325.17,452.82,84
P081,Fauteuil de salon Modèle 1,Fauteuils,451.8,587.41,13
P082,Fauteuil club Modèle 2,Fauteuils,103.32,164.0,43
P083,Fauteuil design Modèle 3,Fauteuils,91.01,169.73,19
P084,Fauteuil vintage Modèle 4,Fauteuils,160.21,227.33,72
P085,Fauteuil en cuir Modèle 5,Fauteuils,281.51,541.73,61
P086,Fauteuil en tissu Modèle 6,Fauteuils,102.52,158.85,32
P087,Fauteuil relax Modèle 7,Fauteuils,265.53,512.45,50
P088,Fauteuil pivotant Modèle 8,Fauteuils,223.6,291.36,51
P089,Fauteuil suspendu Modèle 9,Fauteuils,332.15,450.18,90
P090,Fauteuil scandinave Modèle 10,Fauteuils,326.57,438.92,48
P091,Tabouret de bar Modèle 1,Tabourets,294.18,564.03,48
P092,Tabouret de cuisine Modèle 2,Tabourets,73.76,109.45,43
P093,Tabouret design Modèle 3,Tabourets,469.49,845.17,11
P094,Tabouret vintage Modèle 4,Tabourets,102.28,154.27,87
P095,Tabouret en bois Modèle 5,Tabourets,223.18,339.0,21
P096,Tabouret réglable Modèle 6,Tabourets,314.93,398.41,77
P097,Tabouret empilable Modèle 7,Tabourets,337.51,645.38,28
P098,Tabouret industriel Modèle 8,Tabourets,78.01,138.29,42
P099,Tabouret scandinave Modèle 9,Tabourets,413.66,673.83,60
P100,Tabouret pliant Modèle 10,Tabourets,363.18,479.4,58
